competition_id,competition_code,name,sub_type,type,country_id,country_name,domestic_league_code,confederation,total_clubs,url
NLSC,johan-cruijff-schaal,johan-cruijff-schaal,domestic_super_cup,other,122,Netherlands,NL1,europa,18,https://www.transfermarkt.co.uk/johan-cruijff-schaal/startseite/wettbewerb/NLSC
NO1,eliteserien,eliteserien,first_tier,domestic_league,125,Norway,NO1,europa,16,https://www.transfermarkt.co.uk/eliteserien/startseite/wettbewerb/NO1
PL1,pko-bp-ekstraklasa,pko-bp-ekstraklasa,first_tier,domestic_league,135,Poland,PL1,europa,18,https://www.transfermarkt.co.uk/pko-bp-ekstraklasa/startseite/wettbewerb/PL1
PO1,liga-portugal,liga-portugal,first_tier,domestic_league,136,Portugal,PO1,europa,18,https://www.transfermarkt.co.uk/liga-portugal/startseite/wettbewerb/PO1
POBE,jupiler-pro-league-europe-play-offs,jupiler-pro-league-europe-play-offs,play_off,other,19,Belgium,BE1,europa,,https://www.transfermarkt.co.uk/jupiler-pro-league-europe-play-offs/startseite/wettbewerb/POBE
POSU,supercup-candido-de-oliveira,supercup-candido-de-oliveira,domestic_super_cup,other,136,Portugal,PO1,europa,18,https://www.transfermarkt.co.uk/supercup-candido-de-oliveira/startseite/wettbewerb/POSU
RO1,superliga,superliga,first_tier,domestic_league,140,Romania,RO1,europa,16,https://www.transfermarkt.co.uk/superliga/startseite/wettbewerb/RO1
RSK1,k-league-1,k-league-1,first_tier,domestic_league,87,"Korea, South",RSK1,asien,12,https://www.transfermarkt.co.uk/k-league-1/startseite/wettbewerb/RSK1
RU1,premier-liga,premier-liga,first_tier,domestic_league,141,Russia,RU1,europa,16,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/RU1
RUP,russian-cup,russian-cup,domestic_cup,domestic_cup,141,Russia,RU1,europa,16,https://www.transfermarkt.co.uk/russian-cup/startseite/wettbewerb/RUP
RUSS,russian-super-cup,russian-super-cup,domestic_super_cup,other,141,Russia,RU1,europa,16,https://www.transfermarkt.co.uk/russian-super-cup/startseite/wettbewerb/RUSS
SA1,saudi-pro-league,saudi-pro-league,first_tier,domestic_league,146,Saudi Arabia,SA1,asien,18,https://www.transfermarkt.co.uk/saudi-pro-league/startseite/wettbewerb/SA1
SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,12,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1
SCI,supercoppa-italiana,supercoppa-italiana,domestic_super_cup,other,75,Italy,IT1,europa,20,https://www.transfermarkt.co.uk/supercoppa-italiana/startseite/wettbewerb/SCI
SE1,allsvenskan,allsvenskan,first_tier,domestic_league,147,Sweden,SE1,europa,16,https://www.transfermarkt.co.uk/allsvenskan/startseite/wettbewerb/SE1
SER1,super-liga-srbije,super-liga-srbije,first_tier,domestic_league,215,Serbia,SER1,europa,16,https://www.transfermarkt.co.uk/super-liga-srbije/startseite/wettbewerb/SER1
SFA,scottish-fa-cup,scottish-fa-cup,domestic_cup,domestic_cup,190,Scotland,SC1,europa,12,https://www.transfermarkt.co.uk/scottish-fa-cup/startseite/wettbewerb/SFA
SUC,supercopa,supercopa,domestic_super_cup,other,157,Spain,ES1,europa,20,https://www.transfermarkt.co.uk/supercopa/startseite/wettbewerb/SUC
TR1,super-lig,super-lig,first_tier,domestic_league,174,Türkiye,TR1,europa,18,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1
TS1,chance-liga,chance-liga,first_tier,domestic_league,172,Czech Republic,TS1,europa,16,https://www.transfermarkt.co.uk/chance-liga/startseite/wettbewerb/TS1
UCOL,uefa-conference-league,uefa-conference-league,uefa_conference_league,other,-1,,,europa,,https://www.transfermarkt.co.uk/uefa-conference-league/startseite/pokalwettbewerb/UCOL
UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,16,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1
UKRP,ukrainian-cup,ukrainian-cup,domestic_cup,domestic_cup,177,Ukraine,UKR1,europa,16,https://www.transfermarkt.co.uk/ukrainian-cup/startseite/wettbewerb/UKRP
USC,uefa-super-cup,uefa-super-cup,uefa_super_cup,international_cup,-1,,,europa,,https://www.transfermarkt.co.uk/uefa-super-cup/startseite/pokalwettbewerb/USC
