country_id,country_name,country_code,confederation,total_clubs,total_players,average_age,url
185,Vietnam,VIE1,asien,14,445,26.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/185
188,Cyprus,ZYP1,europa,14,399,27.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/188
189,England,GB1,europa,20,555,26.5,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/189
19,Belgium,BE1,europa,16,454,24.7,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/19
190,Scotland,SC1,europa,12,339,26.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/190
191,Wales,WAL1,europa,12,274,26.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/191
192,Northern Ireland,NIR1,europa,12,345,26.0,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/192
2,Egypt,EGY1,afrika,21,713,27.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/2
20,Belize,BZ1A,amerika,7,169,25.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/20
208,Faroe Islands,FARO,europa,10,298,25.6,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/208
215,Serbia,SER1,europa,16,477,25.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/215
216,Montenegro,MNE1,europa,10,252,26.7,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/216
218,Hongkong,HGKG,asien,10,322,25.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/218
22,Bhutan,BH1L,asien,10,312,25.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/22
228,Puerto Rico,PRA1,amerika,10,302,23.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/228
23,Bolivia,BO1A,amerika,16,471,27.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/23
24,Bosnia-Herzegovina,BOS1,europa,10,300,26.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/24
242,Timor-Leste,TLE1,asien,10,103,25.5,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/242
244,Kosovo,KO1,europa,10,283,26.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/244
26,Brazil,BRA1,amerika,20,664,27.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/26
266,Gibraltar,GI1,europa,12,315,26.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/266
27,Brunei Darussalam,BSL1,asien,12,376,29.5,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/27
28,Bulgaria,BU1,europa,16,406,26.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/28
3,Albania,ALB1,europa,10,276,25.7,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/3
33,Chile,CLPD,amerika,16,425,27.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/33
34,China,CSL,asien,16,509,26.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/34
35,Comoros,COM1,afrika,30,921,26.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/35
36,Costa Rica,CRPD,amerika,10,283,27.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/36
37,Croatia,KR1,europa,10,305,25.5,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/37
39,Denmark,DK1,europa,12,326,25.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/39
4,Algeria,ALG1,afrika,16,424,26.6,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/4
40,Germany,L1,europa,18,516,26.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/40
43,Dominican Republic,DO1P,amerika,6,140,26.7,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/43
44,Ecuador,EC1N,amerika,16,447,27.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/44
45,El Salvador,SL1A,amerika,12,316,27.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/45
47,Estonia,EST1,europa,10,260,23.5,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/47
48,Fiji,FIJ1,asien,10,301,25.7,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/48
49,Finland,FI1,europa,12,309,24.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/49
5,Andorra,AND1,europa,10,231,27.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/5
50,France,FR1,europa,18,481,25.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/50
53,Georgia,GE1N,europa,10,260,24.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/53
54,Ghana,GHPL,afrika,18,625,24.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/54
56,Greece,GR1,europa,14,435,27.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/56
58,Guatemala,GU1A,amerika,12,330,28.0,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/58
66,Honduras,HO1A,amerika,11,338,26.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/66
67,India,IND1,asien,14,393,26.5,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/67
68,Indonesia,IN1L,asien,18,579,27.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/68
70,Iraq,IRQ1,asien,20,616,28.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/70
71,Iran,IRN1,asien,16,490,26.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/71
72,Ireland,IR1,europa,10,324,24.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/72
73,Iceland,IS1,europa,12,284,25.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/73
74,Israel,ISR1,europa,14,376,26.1,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/74
75,Italy,IT1,europa,20,536,26.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/75
76,Jamaica,JPL1,amerika,14,579,24.6,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/76
77,Japan,JAP1,asien,20,695,27.0,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/77
78,Jordan,JO1L,asien,10,319,26.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/78
79,Cambodia,KHM1,asien,11,327,25.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/79
80,Canada,CDN1,amerika,8,205,24.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/80
81,Kazakhstan,KAS1,europa,16,425,26.7,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/81
83,Colombia,COLP,amerika,20,521,27.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/83
87,"Korea, South",RSK1,asien,12,437,26.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/87
9,Argentina,ARG1,amerika,30,921,26.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/9
90,Kyrgyzstan,KG1L,asien,16,435,25.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/90
91,Laos,LAO1,asien,10,281,23.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/91
92,Latvia,LET1,europa,10,271,23.6,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/92
94,Lebanon,LIB1,asien,12,326,26.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/94
96,Libya,LPL,afrika,36,1,27.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/96
98,Lithuania,LI1,europa,10,254,25.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/98
99,Luxembourg,LUX1,europa,16,437,25.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/99
